AlphaBetaAgent,2,trappedClassic,236.71,5.17E-04
AlphaBetaAgent,3,trappedClassic,-58.29,6.06E-04
AlphaBetaAgent,4,trappedClassic,-206.14,4.92E-04
RandomExpectimaxAgent,2,trappedClassic,-205.86,4.99E-04
RandomExpectimaxAgent,3,trappedClassic,-353.43,6.59E-04
RandomExpectimaxAgent,4,trappedClassic,-353.71,8.37E-04
ReflexAgent,1,trickyClassic,-2.14,1.46E-04
BetterAgent,1,trickyClassic,367.29,4.58E-04
MinimaxAgent,2,trickyClassic,1724.29,9.53E-03
MinimaxAgent,3,trickyClassic,1740.86,9.56E-02
MinimaxAgent,4,trickyClassic,2291,8.41E-01
AlphaBetaAgent,2,trickyClassic,1597.29,6.81E-03
AlphaBetaAgent,3,trickyClassic,1609,3.37E-02
AlphaBetaAgent,4,trickyClassic,2121.57,1.88E-01
RandomExpectimaxAgent,2,trickyClassic,1821.71,8.42E-03
RandomExpectimaxAgent,3,trickyClassic,1935.43,6.75E-02
RandomExpectimaxAgent,4,trickyClassic,2484.86,6.80E-01
